province,district,year,tree_cover_loss_ha,co2_emissions
Aceh,Aceh Barat,2001,1646.9732626845505,1114690.0135735641
Aceh,Aceh Barat,2002,717.0579106594682,500916.86573034927
Aceh,Aceh Barat,2003,401.1315635374108,308933.1123386587
Aceh,Aceh Barat,2004,1112.3868186199427,743516.8551308407
Aceh,Aceh Barat,2005,2482.3757582693,1652238.2211431384
Aceh,Aceh Barat,2006,1215.316822708214,790609.8802719789
Aceh,Aceh Barat,2007,2123.4502618467236,1313707.0287958442
Aceh,Aceh Barat,2008,4468.17467696634,3048495.9832094824
Aceh,Aceh Barat,2009,4361.296227476704,3417777.6039105565
Aceh,Aceh Barat,2010,2056.095252759479,1466124.2734058464
Aceh,Aceh Barat,2011,4179.169850182278,3209379.289397836
Aceh,Aceh Barat,2012,4747.678378516166,2786007.88522902
Aceh,Aceh Barat,2013,6502.938359406206,3337498.591759493
Aceh,Aceh Barat,2014,5904.110785024317,4189495.7626143633
Aceh,Aceh Barat,2015,2489.9223040098063,1454849.3997439584
Aceh,Aceh Barat,2016,3266.397924739877,1984599.962778308
Aceh,Aceh Barat,2017,4364.303592588333,2536208.027155568
Aceh,Aceh Barat,2018,2449.5778195238895,1430888.2051946695
Aceh,Aceh Barat,2019,1587.4687739729593,965112.574151233
Aceh,Aceh Barat,2020,1389.289900377605,811689.7396011478
Aceh,Aceh Barat,2021,3026.6512010059582,1852981.2111299655
Aceh,Aceh Barat,2022,2389.8439528289264,1386810.1511973408
Aceh,Aceh Barat,2023,2739.234023768631,1649444.2790591912
Aceh,Aceh Barat,2024,4655.397001698679,2945955.385231428
Aceh,Aceh Barat,2025,4938.349592319839,3145895.9822889105
Aceh,Aceh Barat Daya,2001,708.225225914236,502354.42945641594
Aceh,Aceh Barat Daya,2002,562.1317633095692,390896.6696527377
Aceh,Aceh Barat Daya,2003,2960.3569705398327,2269131.5584258283
Aceh,Aceh Barat Daya,2004,474.40672460599046,408415.7398874912
Aceh,Aceh Barat Daya,2005,360.48651648797767,236128.1228974054
Aceh,Aceh Barat Daya,2006,638.6073495184045,441109.18499137304
Aceh,Aceh Barat Daya,2007,220.00624660279576,136370.97134741233
Aceh,Aceh Barat Daya,2008,728.761384724128,564950.5252929754
Aceh,Aceh Barat Daya,2009,7361.221654628653,4714623.363813331
Aceh,Aceh Barat Daya,2010,1744.8013278468125,1125846.7297218821
Aceh,Aceh Barat Daya,2011,2425.3296007612653,1619388.5418937188
Aceh,Aceh Barat Daya,2012,1651.0377392202056,1208086.2543773544
Aceh,Aceh Barat Daya,2013,1143.7071399200643,811095.7165197799
Aceh,Aceh Barat Daya,2014,1428.221277278816,833706.288034379
Aceh,Aceh Barat Daya,2015,928.1627487200589,577824.8612665122
Aceh,Aceh Barat Daya,2016,1103.4974756291565,630987.6617657869
Aceh,Aceh Barat Daya,2017,1110.691148016779,646485.0799875655
Aceh,Aceh Barat Daya,2018,1005.0577914487078,474910.71961917565
Aceh,Aceh Barat Daya,2019,866.0512483338649,335199.5087507266
Aceh,Aceh Barat Daya,2020,792.1903573512242,424743.81815344736
Aceh,Aceh Barat Daya,2021,1205.1965488524147,494400.6010573389
Aceh,Aceh Barat Daya,2022,1094.96525828254,383237.20750764856
Aceh,Aceh Barat Daya,2023,1118.9034026495112,600420.2645096153
Aceh,Aceh Barat Daya,2024,1251.242798840191,638081.4244837812
Aceh,Aceh Barat Daya,2025,1291.5633896106683,592805.6285637304
Aceh,Aceh Besar,2001,575.097200832312,356450.93697508436
Aceh,Aceh Besar,2002,261.94396566345387,167500.81445071235
Aceh,Aceh Besar,2003,64.49639132099392,40953.238511048854
Aceh,Aceh Besar,2004,1138.4026363753228,667854.9569607221
Aceh,Aceh Besar,2005,881.2189673178858,412594.5540502087
Aceh,Aceh Besar,2006,313.8172249898178,188899.9467373982
Aceh,Aceh Besar,2007,623.6567951849097,382312.448640165
Aceh,Aceh Besar,2008,156.65842487681368,99090.3584701008
Aceh,Aceh Besar,2009,1684.125903666922,1120148.6576998532
Aceh,Aceh Besar,2010,527.4796191053309,350350.93697208905
Aceh,Aceh Besar,2011,2241.2897218544554,1482314.4213172947
Aceh,Aceh Besar,2012,358.7503117932562,233659.1180554672
Aceh,Aceh Besar,2013,489.2656809990327,293547.70580992295
Aceh,Aceh Besar,2014,1780.5550937413393,1150282.6034792436
Aceh,Aceh Besar,2015,537.1221586198652,336195.4083950902
Aceh,Aceh Besar,2016,1042.1577046860632,615856.452286744
Aceh,Aceh Besar,2017,2149.2960283963766,1323438.1493373392
Aceh,Aceh Besar,2018,873.0836645201449,527044.9421849026
Aceh,Aceh Besar,2019,923.8830584208848,566035.4981209686
Aceh,Aceh Besar,2020,1272.5369082602883,778985.5749550624
Aceh,Aceh Besar,2021,899.1908588110114,582989.5879374179
Aceh,Aceh Besar,2022,1000.2396540132908,647036.547290442
Aceh,Aceh Besar,2023,1331.095488154341,854159.5825482967
Aceh,Aceh Besar,2024,1223.4116681930825,793105.0158753084
Aceh,Aceh Besar,2025,1939.9654940211128,1267943.0650206637
Aceh,Aceh Jaya,2001,1493.073581946104,968598.3555758785
Aceh,Aceh Jaya,2002,540.8121075315884,366504.9896784624
Aceh,Aceh Jaya,2003,308.18371323805155,198579.60931970208
Aceh,Aceh Jaya,2004,2123.458678791757,1183053.2200660564
Aceh,Aceh Jaya,2005,4978.30362184902,2892915.778503077
Aceh,Aceh Jaya,2006,417.20213973868687,255100.476074515
Aceh,Aceh Jaya,2007,1914.0383009474433,1225362.755348849
Aceh,Aceh Jaya,2008,3120.107565606753,2209857.093201512
Aceh,Aceh Jaya,2009,3157.2590515440093,2162397.576145697
Aceh,Aceh Jaya,2010,779.2933737230502,548125.02915135
Aceh,Aceh Jaya,2011,3046.663782801439,2126810.8540522223
Aceh,Aceh Jaya,2012,3200.3557292933574,2228574.1949817827
