province,year,tree_cover_loss_ha,co2_emissions
Aceh,2001,18277.906747900244,10876310.166990573
Aceh,2002,10953.144452509428,6678063.885359705
Aceh,2003,11815.680565198776,8095293.224497113
Aceh,2004,19138.23106779235,11641792.176611273
Aceh,2005,26479.451108310666,17557813.9959566
Aceh,2006,21284.53013952128,13988635.32145784
Aceh,2007,24168.18049545891,15340695.347666688
Aceh,2008,36734.241872918414,25064284.27153484
Aceh,2009,69111.40355510244,45217973.820975125
Aceh,2010,40756.66130019805,25823165.117074877
Aceh,2011,47486.23145200593,31597160.224540927
Aceh,2012,49396.0708932793,32099924.121998146
Aceh,2013,41390.6723665219,24444756.780126654
Aceh,2014,58554.50382836449,36918755.71510797
Aceh,2015,33968.78724617704,20495661.056868795
Aceh,2016,50073.65834996779,29716298.945497923
Aceh,2017,45813.74285407164,27096288.85377488
Aceh,2018,46110.51719007004,27962456.38205809
Aceh,2019,28562.24500975403,17827200.173712075
Aceh,2020,30224.79459936237,18680978.483197834
Aceh,2021,31786.43370421216,19068923.265954323
Aceh,2022,29785.72245432031,17055238.16163926
Aceh,2023,38983.475252803226,23414212.61925005
Aceh,2024,46070.64463532485,28288304.403296467
Aceh,2025,60124.53381805514,38134003.56190508
Bangka Belitung,2001,13909.71772237386,7031486.54788302
Bangka Belitung,2002,11246.811959908926,5588009.309823653
Bangka Belitung,2003,7123.082116520109,3504183.669617916
Bangka Belitung,2004,21976.067975493945,11525948.720495865
Bangka Belitung,2005,19839.851383022287,10126953.45182084
Bangka Belitung,2006,20241.23810149513,10798481.072129613
Bangka Belitung,2007,23237.61595878296,12067939.26916616
Bangka Belitung,2008,22677.783162359498,11268029.667148145
Bangka Belitung,2009,63896.16598967828,33562163.39304302
Bangka Belitung,2010,23187.21561450598,12415453.018670388
Bangka Belitung,2011,32399.79163909539,17055787.672396757
Bangka Belitung,2012,39450.873123034085,21501242.94492152
Bangka Belitung,2013,17575.16869618835,9687150.97950371
Bangka Belitung,2014,41246.14560337606,22295783.5115684
Bangka Belitung,2015,41280.736939255534,22759615.33196104
Bangka Belitung,2016,58203.00008756411,37453859.88978477
Bangka Belitung,2017,25558.050008724396,13000752.50559868
Bangka Belitung,2018,22425.578906653234,10346116.792446567
Bangka Belitung,2019,25528.962101354708,10782180.946311107
Bangka Belitung,2020,24627.315193442653,12084016.381849617
Bangka Belitung,2021,31005.48127535881,15964701.197489375
Bangka Belitung,2022,34051.58317630357,16780277.30314228
Bangka Belitung,2023,50388.60087979758,24625191.029239647
Bangka Belitung,2024,31059.01148005596,15442591.36753502
Bangka Belitung,2025,31395.280791315985,16518283.950100409
Bengkulu,2001,14198.331286565319,10203132.198634516
Bengkulu,2002,10421.96130679826,7576498.756418173
Bengkulu,2003,8103.873233279726,5840848.731900065
Bengkulu,2004,25984.66409525888,18450466.457570225
Bengkulu,2005,13141.331168408027,9284731.375442576
Bengkulu,2006,23588.274646501894,16047571.404812092
Bengkulu,2007,17579.806552357277,12553703.716673717
Bengkulu,2008,22353.08275375949,15710096.863914836
Bengkulu,2009,18755.595544749474,13434507.52832214
Bengkulu,2010,16012.656778259568,11305860.363316318
Bengkulu,2011,24562.889366393236,18175346.21490523
Bengkulu,2012,27760.992726805627,20791067.725920744
Bengkulu,2013,14152.78427485976,9499254.658661012
Bengkulu,2014,20319.50008545389,14016342.879281016
Bengkulu,2015,20197.22134942631,14404809.578072246
Bengkulu,2016,24377.67963879899,17040944.51978166
Bengkulu,2017,27232.9629747715,19057861.02353232
Bengkulu,2018,24624.546042470007,17475093.24779963
Bengkulu,2019,18200.640075033345,12405984.409636416
Bengkulu,2020,16309.568224629124,11463229.294193309
Bengkulu,2021,14325.857157078308,9931431.133010093
Bengkulu,2022,23799.27215251637,16740501.47709803
Bengkulu,2023,29913.006504376364,19359918.914218437
Bengkulu,2024,20996.99031881864,15149284.328993816
Bengkulu,2025,27160.346302887025,19653388.45259976
Jambi,2001,46911.76232297413,34140821.53965908
Jambi,2002,45073.4850404669,37031009.26352263
Jambi,2003,21497.488360010168,17864123.715105556
Jambi,2004,97085.16361879904,92770309.0587016
Jambi,2005,71002.23372395612,63356140.818703264
Jambi,2006,119577.90051908648,85081995.11654793
Jambi,2007,118972.84524312844,95940007.6493242
Jambi,2008,124205.78296550944,106047520.47233334
Jambi,2009,125511.23753648532,100421990.13469511
Jambi,2010,36678.61526118568,27200776.988407273
Jambi,2011,48905.33112273713,35909178.907822974
Jambi,2012,152387.3311109872,124023198.22858655
Jambi,2013,66706.3156175911,53119994.07607989
Jambi,2014,77431.51683560006,57553290.0873202
Jambi,2015,60610.8973229048,43249343.34260864
Jambi,2016,157247.17107793738,134517562.2340446
